draw,date,shift,demand_sample,total_cost,coverage_rate,shortfall
0,2025-10-29,evening,51.09353698857649,944.0,1.0,0.0
0,2025-10-29,morning,24.4702732142909,568.0,1.0,0.0
0,2025-10-29,night,6.886092560811921,284.0,1.0,0.0
1,2025-10-29,evening,29.709624404847474,568.0,1.0,0.0
1,2025-10-29,morning,15.284201656322761,284.0,1.0,0.0
1,2025-10-29,night,43.99228947772284,752.0,1.0,0.0
2,2025-10-29,evening,62.989711640804984,1036.0,1.0,0.0
2,2025-10-29,morning,6.658557248822686,284.0,1.0,0.0
2,2025-10-29,night,44.08498713774143,752.0,1.0,0.0
3,2025-10-29,evening,24.07468893449627,568.0,1.0,0.0
3,2025-10-29,morning,17.91113271242893,376.0,1.0,0.0
3,2025-10-29,night,20.023618269693685,376.0,1.0,0.0
4,2025-10-29,evening,26.729304342566277,568.0,1.0,0.0
4,2025-10-29,morning,37.32320383153767,660.0,1.0,0.0
4,2025-10-29,night,57.929656475825155,1036.0,1.0,0.0
5,2025-10-29,evening,65.64049294479818,1128.0,1.0,0.0
5,2025-10-29,morning,40.20038398222083,752.0,1.0,0.0
5,2025-10-29,night,16.504122127186328,376.0,1.0,0.0
6,2025-10-29,evening,29.995796322790756,568.0,1.0,0.0
6,2025-10-29,morning,53.80610939416508,944.0,1.0,0.0
6,2025-10-29,night,4.165607458538976,284.0,1.0,0.0
7,2025-10-29,evening,42.01701838170951,752.0,1.0,0.0
7,2025-10-29,morning,40.26195616150348,752.0,1.0,0.0
7,2025-10-29,night,9.105736597677,284.0,1.0,0.0
8,2025-10-29,evening,76.44177253847282,1320.0,1.0,0.0
8,2025-10-29,morning,38.66571622297754,660.0,1.0,0.0
8,2025-10-29,night,41.872276866504755,752.0,1.0,0.0
9,2025-10-29,evening,36.56662245233653,660.0,1.0,0.0
9,2025-10-29,morning,7.3085235094763314,284.0,1.0,0.0
9,2025-10-29,night,42.6028520437968,752.0,1.0,0.0
10,2025-10-29,evening,68.55604931280216,1128.0,1.0,0.0
10,2025-10-29,morning,57.72088375057524,1036.0,1.0,0.0
10,2025-10-29,night,25.345345066579853,568.0,1.0,0.0
11,2025-10-29,evening,24.12438332245735,568.0,1.0,0.0
11,2025-10-29,morning,22.73436953980886,376.0,1.0,0.0
11,2025-10-29,night,8.315189191620671,284.0,1.0,0.0
12,2025-10-29,evening,75.76457041089488,1320.0,1.0,0.0
12,2025-10-29,morning,7.540208327689793,284.0,1.0,0.0
12,2025-10-29,night,6.185761506634446,284.0,1.0,0.0
13,2025-10-29,evening,81.23844740052137,1412.0,1.0,0.0
13,2025-10-29,morning,25.33274149604134,568.0,1.0,0.0
13,2025-10-29,night,18.285758908199035,376.0,1.0,0.0
14,2025-10-29,evening,55.98794848600316,944.0,1.0,0.0
14,2025-10-29,morning,11.554990939814541,284.0,1.0,0.0
14,2025-10-29,night,11.956326531844445,284.0,1.0,0.0
15,2025-10-29,evening,23.740357947235744,376.0,1.0,0.0
15,2025-10-29,morning,36.43643672249918,660.0,1.0,0.0
15,2025-10-29,night,38.37088717653761,660.0,1.0,0.0
16,2025-10-29,evening,63.74422471071455,1036.0,1.0,0.0
16,2025-10-29,morning,56.74445956711527,1036.0,1.0,0.0
16,2025-10-29,night,40.65742778336793,752.0,1.0,0.0
17,2025-10-29,evening,64.04935943864987,1128.0,1.0,0.0
17,2025-10-29,morning,48.95724380499212,944.0,1.0,0.0
17,2025-10-29,night,52.77761384250577,944.0,1.0,0.0
18,2025-10-29,evening,69.06995401411918,1128.0,1.0,0.0
18,2025-10-29,morning,54.669309059493344,944.0,1.0,0.0
18,2025-10-29,night,47.3632616152423,752.0,1.0,0.0
19,2025-10-29,evening,43.08494456163905,752.0,1.0,0.0
19,2025-10-29,morning,57.048927771360184,1036.0,1.0,0.0
19,2025-10-29,night,44.80347292056828,752.0,1.0,0.0
20,2025-10-29,evening,82.70800354009607,1412.0,1.0,0.0
20,2025-10-29,morning,57.256165790518565,1036.0,1.0,0.0
20,2025-10-29,night,50.63146046358073,944.0,1.0,0.0
21,2025-10-29,evening,82.92956899893689,1412.0,1.0,0.0
21,2025-10-29,morning,59.307806680739205,1036.0,1.0,0.0
21,2025-10-29,night,4.719230598722943,284.0,1.0,0.0
22,2025-10-29,evening,65.90895220900069,1128.0,1.0,0.0
22,2025-10-29,morning,6.719828437888562,284.0,1.0,0.0
22,2025-10-29,night,28.266825124220965,568.0,1.0,0.0
23,2025-10-29,evening,72.55989765411316,1320.0,1.0,0.0
23,2025-10-29,morning,67.48654817476204,1128.0,1.0,0.0
23,2025-10-29,night,39.99027004849941,660.0,1.0,0.0
24,2025-10-29,evening,77.90738366062726,1320.0,1.0,0.0
24,2025-10-29,morning,54.44078576641006,944.0,1.0,0.0
24,2025-10-29,night,56.7348254919573,1036.0,1.0,0.0
25,2025-10-29,evening,85.81427305454976,1412.0,1.0,0.0
25,2025-10-29,morning,42.16949483246265,752.0,1.0,0.0
25,2025-10-29,night,54.076407831147066,944.0,1.0,0.0
26,2025-10-29,evening,83.63838907791758,1412.0,1.0,0.0
26,2025-10-29,morning,27.181099051880675,568.0,1.0,0.0
26,2025-10-29,night,10.012045741370795,284.0,1.0,0.0
27,2025-10-29,evening,62.9066470768729,1036.0,1.0,0.0
27,2025-10-29,morning,27.348991888171366,568.0,1.0,0.0
27,2025-10-29,night,45.744293711000076,752.0,1.0,0.0
28,2025-10-29,evening,40.00428649190215,752.0,1.0,0.0
28,2025-10-29,morning,26.265676349714134,568.0,1.0,0.0
28,2025-10-29,night,33.208019433727024,660.0,1.0,0.0
29,2025-10-29,evening,64.07929927574456,1128.0,1.0,0.0
29,2025-10-29,morning,63.768190430497924,1036.0,1.0,0.0
29,2025-10-29,night,3.779047685699624,200.0,1.0,0.0
30,2025-10-29,evening,59.07212182770395,1036.0,1.0,0.0
30,2025-10-29,morning,11.537963672616465,284.0,1.0,0.0
30,2025-10-29,night,19.975443358100378,376.0,1.0,0.0
31,2025-10-29,evening,74.46489773375876,1320.0,1.0,0.0
31,2025-10-29,morning,69.21092179154614,1128.0,1.0,0.0
31,2025-10-29,night,45.95202523072977,752.0,1.0,0.0
32,2025-10-29,evening,72.16448044456035,1320.0,1.0,0.0
32,2025-10-29,morning,53.494253937976794,944.0,1.0,0.0
32,2025-10-29,night,37.56842076651713,660.0,1.0,0.0
33,2025-10-29,evening,47.684897438112756,752.0,1.0,0.0
33,2025-10-29,morning,41.31967179129995,752.0,1.0,0.0
33,2025-10-29,night,55.98595923799563,944.0,1.0,0.0
34,2025-10-29,evening,38.32252288713801,660.0,1.0,0.0
