date,shift,scenario,role,staff_available,staff_scheduled,role_capacity,role_cost,predicted_patients,total_capacity_all_roles,shortfall_all_roles,status
2025-10-29,evening,best,Clerk,1,0,0.0,0.0,80.4,88.0,0.0,Optimal
2025-10-29,evening,best,LPN,2,1,16.0,284.0,80.4,88.0,0.0,Optimal
2025-10-29,evening,best,RN,3,3,72.0,1128.0,80.4,88.0,0.0,Optimal
2025-10-29,evening,high,Clerk,1,0,0.0,0.0,67.29,72.0,0.0,Optimal
2025-10-29,evening,high,LPN,2,0,0.0,0.0,67.29,72.0,0.0,Optimal
2025-10-29,evening,high,RN,3,3,72.0,1128.0,67.29,72.0,0.0,Optimal
2025-10-29,evening,low,Clerk,1,0,0.0,0.0,41.07,48.0,0.0,Optimal
2025-10-29,evening,low,LPN,2,0,0.0,0.0,41.07,48.0,0.0,Optimal
2025-10-29,evening,low,RN,3,2,48.0,752.0,41.07,48.0,0.0,Optimal
2025-10-29,evening,median,Clerk,1,0,0.0,0.0,54.18,56.0,0.0,Optimal
2025-10-29,evening,median,LPN,2,2,32.0,568.0,54.18,56.0,0.0,Optimal
2025-10-29,evening,median,RN,3,1,24.0,376.0,54.18,56.0,0.0,Optimal
2025-10-29,evening,worst,Clerk,1,0,0.0,0.0,27.96,32.0,0.0,Optimal
2025-10-29,evening,worst,LPN,2,2,32.0,568.0,27.96,32.0,0.0,Optimal
2025-10-29,evening,worst,RN,3,0,0.0,0.0,27.96,32.0,0.0,Optimal
2025-10-29,morning,best,Clerk,1,0,0.0,0.0,64.6,72.0,0.0,Optimal
2025-10-29,morning,best,LPN,2,0,0.0,0.0,64.6,72.0,0.0,Optimal
2025-10-29,morning,best,RN,3,3,72.0,1128.0,64.6,72.0,0.0,Optimal
2025-10-29,morning,high,Clerk,1,0,0.0,0.0,51.54,56.0,0.0,Optimal
2025-10-29,morning,high,LPN,2,2,32.0,568.0,51.54,56.0,0.0,Optimal
2025-10-29,morning,high,RN,3,1,24.0,376.0,51.54,56.0,0.0,Optimal
2025-10-29,morning,low,Clerk,1,0,0.0,0.0,25.42,32.0,0.0,Optimal
2025-10-29,morning,low,LPN,2,2,32.0,568.0,25.42,32.0,0.0,Optimal
2025-10-29,morning,low,RN,3,0,0.0,0.0,25.42,32.0,0.0,Optimal
2025-10-29,morning,median,Clerk,1,0,0.0,0.0,38.48,40.0,0.0,Optimal
2025-10-29,morning,median,LPN,2,1,16.0,284.0,38.48,40.0,0.0,Optimal
2025-10-29,morning,median,RN,3,1,24.0,376.0,38.48,40.0,0.0,Optimal
2025-10-29,morning,worst,Clerk,1,0,0.0,0.0,12.36,16.0,0.0,Optimal
2025-10-29,morning,worst,LPN,2,1,16.0,284.0,12.36,16.0,0.0,Optimal
2025-10-29,morning,worst,RN,3,0,0.0,0.0,12.36,16.0,0.0,Optimal
2025-10-29,night,best,Clerk,1,0,0.0,0.0,55.59,56.0,0.0,Optimal
2025-10-29,night,best,LPN,2,2,32.0,568.0,55.59,56.0,0.0,Optimal
2025-10-29,night,best,RN,3,1,24.0,376.0,55.59,56.0,0.0,Optimal
2025-10-29,night,high,Clerk,1,0,0.0,0.0,44.08,48.0,0.0,Optimal
2025-10-29,night,high,LPN,2,0,0.0,0.0,44.08,48.0,0.0,Optimal
2025-10-29,night,high,RN,3,2,48.0,752.0,44.08,48.0,0.0,Optimal
2025-10-29,night,low,Clerk,1,0,0.0,0.0,21.05,24.0,0.0,Optimal
2025-10-29,night,low,LPN,2,0,0.0,0.0,21.05,24.0,0.0,Optimal
2025-10-29,night,low,RN,3,1,24.0,376.0,21.05,24.0,0.0,Optimal
2025-10-29,night,median,Clerk,1,0,0.0,0.0,32.56,40.0,0.0,Optimal
2025-10-29,night,median,LPN,2,1,16.0,284.0,32.56,40.0,0.0,Optimal
2025-10-29,night,median,RN,3,1,24.0,376.0,32.56,40.0,0.0,Optimal
2025-10-29,night,worst,Clerk,1,0,0.0,0.0,9.53,16.0,0.0,Optimal
2025-10-29,night,worst,LPN,2,1,16.0,284.0,9.53,16.0,0.0,Optimal
2025-10-29,night,worst,RN,3,0,0.0,0.0,9.53,16.0,0.0,Optimal
